A-bomb Atombombe
dabblers Dilettanten
dabchick Tauchentchen
dabs Klapse
dace Weissfisch
dachshund Dackel
dachshunds Dackel
dactylogram Fingerabdruck
dad Papa
daddy Papa
dafamation Ehrenkraenkung
daffodil Narzisse
daffodils Narzissen
daftness Verruecktheit
daftnesses Verrueckheiten
dagger Dolch
daggers Dolche
dailies Tageszeitungen
daily Tageszeitung
daintiness Zierlichkeit
dairies Kaesereien
dairy Kaeserei
dairymaid Milchmaedchen
dairyman Milchhaendler
dais Podium
daises Podien
daisies Gaensebluemchen
daisy Gaensebluemchen
dale Tal
dales Taeler
dallier Muessiggaenger
dalliers Muessiggaenger
dam Damm
damage Schaden
damages Schaeden
damask Damast
dame Dame
dames Damen
damnation Verurteilung
damnations Verdammungen
damper Daempfer
dampers Daempfer
damping Daempfung
dampings Daempfungen
dampness Feuchtigkeit
dams Daemme
damsel Maid
dance Tanz
dancer Taenzer
dancers Taenzer
dances Taenze
dancing Tanzen
dandelion Loewenzahn
dander Aerger
dandies Stutzer
dandruff Schuppen
dandy Stutzer
danes Daenen
danger Gefahr
dangerousness Gefaehrlichkeit
dangers Gefahren
dankness Feuchtigkeit
daparture Abgang
dapperness Eleganz
daredevil Draufgaenger
daredevilries Waghalsigkeiten
daredevilry Waghalsigkeit
daredevils Draufgaenger
daringness Kuehnheit
dark Dunkelheit
darkness Dunkelheit
darkroom Dunkelkammer
darkrooms Dunkelkammern
darling Liebling
darner Stopfer
darners Stopfer
dart Satz
darter Schlangenhalsvogel
darts Wurfpfeile
dash Gedankenstrich
dashboard Armaturenbrett
dashboards Armaturenbretter
data Angaben
database Datei
databases Datenbanken
datafile Datenfile
datagram Datenpaket
dataset Datei
datasets Dateien
date Zeitpunkt
dateline Datumszeile
datelines Datumszeilen
dates Daten
datex Datenausstausch
dative Dativ
dauber Schmierer
daubers Schmierer
daughter Tochter
daughters Toechter
dauntlessness Unerschrockenheit
davenport Sofa
davenports Sofas
daw Dohle
dawdler Tagedieb
dawdlers Tagediebe
dawn Beginn
daws Dohlen
day Tag
daybreak Tagesanbruch
daydream Wachtraum
daydreamer Tagtraeumer
daydreams Wachtraeume
daylight Tageslicht
daynurseries Krippen
daynursery Krippe
days Tage
daytaller Tageloehner
daytime Tageszeit
daytimes Tageszeiten
dazzler Blender
dazzlers Blender
DC Gleichstrom
deacon Diakon
deaconess Diakonisse
deacons Diakone
deactivation Abschaltung
deactivations Deaktivierungen
dead Toter
deadausser Betrieb
deadline Stichtag
deadlines Stichtage
deadliness Toedlichkeit
deadlock Blockierung
deadlocks Stockung
deadness Leblosigkeit
deadnettle Taubnessel
deadnettles Taubnesseln
deadpan Schafsgesicht
deadwood Plunder
deafness Taubheit
deal Teil
dealer Haendler
dealers Haendler
dealings Beziehungen
deallocation Freigabe
dean Dekan
deanery Dekanat
deans Dekane
deanship Dekanat
dearness Kostspieligkeit
dearth Mangel
death Tod
deathbed Sterbebett
deathbeds Sterbebetten
deathblow Todesstoss
deathblows Todesstoesse
deathlessness Unsterblichkeit
deaths Todesfaelle
deathtrap Todesfalle
deathwatch Totenwache
debacle Katastrophe
debacles Katastrophen
debarkation Ausschiffung
debarkations Ausschiffungen
debarment Landung
debarments Landungen
debasement Entwertung
debasements Entwertungen
debate Debatte
debater Disputant
debaters Disputanten
debates Debatten
debaucher Verfuehrer
debaucheries Ausschweifungen
debauchers Verfuehrer
debauchery Ausschweifung
debenture Schuldschein
debentures Schuldscheine
debilitation Schwaechung
debilitations Schwaechungen
debilities Schwaechezustaende
debility Schwaechezustand
debit Belastung
deblocking Entblocken
debouncing Entprellen
debris Ablagerung
debt Schuld
debtor Schuldner
debtors Schuldner
debts Schulden
debugging Austesten
debut Debuet
debutant Debuetant
debutante Debuetantin
debutantes Debuetantinnen
debutants Debuetanten
debuts Debuets
decade Jahrzehnt
decadence Verfall
decadences Verfall
decades Dekaden
decadic Zehner
decagon Zehneck
decahedrons Dekahedrone
decal Abziehbild
decalcification Entkalkung
decalitre Dekaliter
decals Abziehbilder
decameter Dekameter
decampment Aufbruch
decanter Karaffe
decanters Karaffen
decapitation Enthauptung
decathlon Zehnkampf
decay Daempfung
decease Sterbefall
deceases Sterbefaelle
decedent Verstorbene
decedents Verstorbenen
deceit Betrug
deceitfulness Falschheit
deceits Betruegereien
deceiver Betrueger
deceleration Verzoegerung
decelerations Verlangsamungen
December Dezember
decencies Schicklichkeiten
decency Anstand
decentralization Dezentralisierung
deception Taeuschung
deceptiveness Taeuschung
dechlorination Dechlorierung
decibel Dezibel
decidedness Deutlichkeit
decimal-to-binary Dezimal-Binaer
decimals Dezimalen
decimation Dezimierung
decimations Dezimierungen
deciphering Dechiffrierung
decipherment Entzifferung
decision Entscheidung
decision-making Entscheidung
decisions Entscheidungen
decisiveness Massgeblichkeit
deck Verdeck
deckchair Liegestuhl
declaimer Deklamator
declaimers Deklamatoren
declamation Deklamation
declamations Deklamationen
declaration Erklaerung
declarations Erklaerungen
declaratives Prozedurvereinbarungen
declarator Vereinbarungszeichen
declension Abfall
declensions Deklinationen
declination Neigung
declinations Neigungen
declivities Abhaenge
declivity Abhang
decoder Decoder
decoding Dekodierung
decomposition Zerlegung
decompression Dekomprimierung
decompressions Druckverminderungen
decontaminating Entgiftung
decontaminations Entgiftungen
decor Buehnenausstattung
decorat Ausstattung
decoration Dekoration
decorations Dekorationen
decorator Dekorateur
decorators Dekorateure
decorousness Schicklichkeit
decors Ausstattungen
decorum Anstand
decoupler Entkoppler
decoupling Entkoppeln
decrease Rueckgang
decree Verfuegung
decrees Dekrete
decrement Verminderung
decrementation Verminderung
decremented Herabsetzung
decrementer Rueckwaertszaehleinrichtung
decrements Verminderungen
decrepitness Hinfaelligkeiten
decrepitude Hinfaelligkeit
decrypter Decodierer
decryption Dekodierung
dedication Widmung
dedications Widmungen
deductibles Rabatte
deduction Abzug
deductions Abzuege
deed Tat
deeds Taten
deepening Vertiefung
deepness Tiefe
deer Hirsch
defacement Entstellung
defacements Entstellungen
defalcation Veruntreuung
defalcations Unterschlagungen
defamation Verleumdung
defamations Verleumdungen
defamer Verleumder
default Vorgabe
defaulter Schuldner
defaulters Schuldner
defaults Vorgaben
defeasance Annullierung
defeasances Annullierungen
defeat Niederlage
defeatist Miesmacher
defeatists Miesmacher
defecation Stuhlgang
defectiveness Mangelhaftigkeit
defector Abtruennige
defects Maengel
defence Verteidigung
defences Verteidigungen
defendant Angeklagte
defender Verteidiger
defense Abwehr
defenseUS Verteidigung
defenselessness Wehrlosigkeit
defensesUS Verteidigungen
defensibility Haltbarkeit
defensibleness Vertretbarkeit
defensiveness Verteidigung
deference Ehrerbietung
deferment Zurueckstellung
deferments Zurueckstellungen
deferral Verschiebung
deferrals Verschiebungen
defiance Herausforderung
defiances Herausforderungen
deficiencies Maengel
deficiency Mangel
deficit Defizit
deficits Defizite
defilement Verunreinigung
defiler Beschmutzer
defilers Beschmutzer
definite Integral
definiteness Bestimmtheit
definition Definition
definitions Definitionen
definitiveness Endgueltigkeit
deflation Entleerung
deflations Deflationen
deflection Ausschlag
deflections Ablenkungen
deflector Ableiter
defoliant Entlaubungsmittel
defoliants Entlaubungsmittel
defoliation Entblaetterung
defoliations Entblaetterungen
deforestation Abforstung
deforestations Abforstungen
deformation Entstellung
deformations Entstellungen
deformities Missbildungen
deformity Missbildung
defrauder Steuerhinterzieher
defrayal Zahlung
defroster Enteisungsanlage
defrosters Enteisungsanlagen
deftness Geschick
defuncts Verstorbenen
deg Grad
degeneracy Entartung
degenerateness Entartung
degeneration Gegenkopplung
degenerations Degenerationen
degradation Absetzung
degradations Absetzungen
degree Rang
degrees Grad
deicer Enteisungsanlage
deicers Enteisungsanlagen
deification Vergoetterung
deifications Vergoetterungen
deism Gottesglaube
deisms Goetterglaube
deist Gottglaeubige
deities Gottheiten
deity Gottheit
dejectedness Niedergeschlagenheiten
dejection Kotentleerung
delay Verzoegerung
delayer Verzoegerer
delayers Verzoegerer
delectability Koestlichkeit
delectableness Vergnuegen
delectation Ergoetzen
delegacy Abordnung
delegate Abgeordnete
delegation Delegation
delegations Delegationen
deleteriousness Schaedlichkeit
deletion Zerstoerung
deletions Zerstoerungen
deliberateness Besonnenheit
deliberation Ueberlegung
deliberations Ueberlegungen
delicacies Leckerbissen
delicacy Leckerbissen
delicateness Zartheit
delicatessen Delikatessen
deliciousness Koestlichkeit
delict Delikt
delicts Delikte
delight Lust
delightfulness Herrlichkeit
delights Wonnen
delimitation Abgrenzung
delimitations Abgrenzungen
delimiter Abgrenzer
delineation Skizze
delineations Skizzen
delinquencies Vergehen
delinquency Vergehen
delinquents Deliquenten
deliquency Kriminalitaet
deliriousness Wahnsinn
deliverance Befreiung
deliverances Ueberlieferungen
deliverer Befreier
deliverers Befreier
deliveries Lieferungen
delivery Foerderung
deluder Vormacher
deluders Vormacher
delusion Wahn
delusions Taeuschungen
delusiveness Betrug
deluxe Luxus
demagnetization Entmagnetisierung
demagogue Demagog
demagoguerys Demagogien
demagogues Demagogen
demagogy Demagogie
demand Anspruch
demander Klaeger
demanders Klaeger
demands Erfordernisse
demarcation Abgrenzung
demarcations Abgrenzungen
demeanor Benehmen
demeanors Verhalten
demeanour Benehmen
dementedness Verrruecktheit
dementia Schwachsinn
demi Halb
demigod Halbgott
demilitarization Entmilitarisierung
demilitarizations Entmilitarisierungen
demimonde Halbwelt
demise Besitzuebertragung
demisemiquavers Zweiunddreissigstelnoten
demises Besitzuebertragungen
demo Demo
demobilization Demobilisierung
demobilizations Demobilisierungen
democracies Demokratien
democracy Demokratie
democrat Demokrat
democratization Demokratisierung
democrats Demokraten
demodulation Demodulation
demodulator Demodulator
demographer Demograph
demographics Demographien
demography Demographie
demokracy Demokratie
demolishment Vernichtung
demolishments Vernichtungen
demolition Zerstoerung
demolitions Demolierungen
demon Teufel
demonology Daemonenlehre
demons Daemonen
demonstrability Beweisbarkeit
demonstration Beweis
demonstrations Demonstrationen
demonstrativeness Betontheit
demonstrator Vorfuehrer
demonstrators Vorfuehrer
demoralization Demoralisation
demos Demos
demotion Degradierung
demotions Degradierungen
demur Einwendung
demurrer Rechtseinwand
demurs Einwendungen
den Hoehle
dendrologists Dendrologen
dendrology Baumkunde
dene Sandduene
denes Sandduenen
denial Verweigerung
denials Verneinungen
denier Verweigerer
deniers Verweigerer
denigration Anschwaerzung
denigrations Anschwaerzungen
denim Baumwolldrillich
denims Baumwolldrilliche
denise Denise
denizen Bewohner
denizens Bewohner
denomination Benennung
denominations Konfessionen
denominator Nenner
denotation Bedeutung
denouement Loesung
denouements Loesungen
denouncement Anklage
denouncements Anklagen
denouncer Anklaeger
denouncers Anklaeger
dens Hoehlen
denseness Dichtigkeit
densities Dichten
density Dichte
dent Vertiefung
dentifrice Zahnpaste
dentifrices Zahnpasten
dentist Zahnarzt
dentistry Zahnheilkunde
dentists Zahnaerzte
dents Beulen
dentures Zahnersatz
denudation Entbloessung
denudations Entbloessungen
denunciation Denunziation
denunciations Denunziationen
denunciator Denunziant
denunciators Denunzianten
deodorant Deodorant
deodorization Desodorierung
depart Abreisen
department Gebiet
departmentUS Fachbereich
departmental Abteilung
departmentally Abteilungs
departments Abteilungen
departure Start
departures Abfahrten
dependability Zuverlaessigkeit
dependableness Zuverlaessigkeiten
dependant Anhaenger
dependences Abhaengigkeiten
dependencies Kolonien
dependency Schutzgebiet
dependent Abhaengige
dependents Angehoerigen
depersonalization Entpersoenlichung
depersonalizations Entpersoenlichungen
depiction Schilderung
depictions Schilderungen
depilation Enthaarung
depilations Enthaarungen
depilatories Enthaarungsmittel
depilatory Enthaarungsmittel
depletion Erschoepfung
depletions Erschoepfungen
deployment Aufstellen
depolarization Entpolarisierung
depopulation Entvoelkerung
deportation Deportation
deportations Deportationen
deportment Haltung
deportments Haltungen
deposit Kaution
deposition Ablage
depositions Ablagen
depositor Kontoinhaber
depositors Kontoinhaber
deposits Anzahlungen
depravation Verworfenheit
depravity Verderbtheit
deprecation Missbilligung
deprecations Missbilligungen
deprecator Gegner
depreciation Wertminderung
depreciations Wertminderungen
depredation Pluenderung
depredations Pluenderungen
depredator Pluenderer
depredators Pluenderer
depressant Beruhigungsmittel
depressants Beruhigungsmittel
depression Unterdrueckung
depressions Depressionen
depressiveness Niedergeschlagenheit
deprivation Verlust
deprivations Entbehrungen
depth Tiefe
depths Tiefen
deputy Vertreter
derailment Entgleisung
derangement Stoerung
dereliction Versaeumnis
derelicts Hilflosen
derider Spoetter
derision Hohn
derisiveness Spott
derivation Ableitung
derivations Ableitungen
derivative Funktion
derivatives Ableitungen
derive Ableitung
dermal Haut
dermatologist Hautarzt
dermatology Dermatologie
dermis Haut
derogation Verminderung
derogations Beeintraechtigungen
derrick Kranbaum
derriere Gesaess
desalinating Entsalzung
descend Abstieg
descendant Abkoemmling
descendants Abkommen
descender Unterlaenge
descenders Unterlaengen
descent Abstieg
descents Abstiege
describer Beschreiber
description Art
descriptions Beschreibung
descriptiveness Beschreibbarkeit
descriptor Beschreiber
desecration Schaendung
desert Wueste
deserter Deserteur
deserters Deserteure
desertion Verlassen
deserts Wuesten
desideratum Mangel
design Entwurf
designating Bezeichnung
designation Ziel
designations Bestimmungen
designator Bezeichner
designer Designer
designers Designer
desirability Erwuenschtheit
desirableness Erwuenschtheiten
desirousness Begierigkeit
desistance Abstand
desk Tisch
desktop Schreibtisch
desolateness Verwuestung
desolation Verwuestung
desolations Verwuestungen
despair Verzweiflung
despatcher Absender
desperado Schurke
desperadoes Schurken
desperateness Hoffnungslosigkeit
desperation Verzweiflung
despicableness Jaemmerlichkeit
despiser Veraechter
despite Verachtung
despites Verachtungen
despoiler Pluenderer
despoilment Pluenderung
despoilments Pluenderungen
despondence Verzagtheit
despondency Mutlosigkeit
despot Despot
despotism Despotismus
despots Despoten
dessert Dessert
destination Ziel
destinies Schicksale
destiny Schicksal
destroyer Zerstoerer
destructibility Zerstoerbarkeit
destruction Zerstoerung
destructions Zerstoerungen
destructiveness Zerstoerungswut
desultoriness Ziellosigkeit
detachedness Losgeloestheit
detachment Abteilung
detail Teil
details Details
detainee Haeftling
detainees Haeftlinge
detainment Haft
detectability Feststellbarkeit
detecting Erkennungscode
detection Entdeckung
detections Entdeckungen
detective Detektiv
detector Anzeiger
detent Sperre
detente Entspannung
detention Festnahme
detentions Vorenthaltungen
detergent Reinigungsmittel
detergents Reinigungsmittel
deterioration Verschlechterung
determent Abschreckung
determents Abschreckungen
determinant Determinante
determinants Determinanten
determinateness Bestimmtheit
determination Beschluss
determinations Ermittlungen
determinedness Entschlossenheit
determining Beendigung
deterrant Abschreckungsmittel
deterrence Abschreckung
deterrent Abschreckungsmittel
detestableness Abscheulichkeit
detestation Abscheu
detonation Detonation
detonations Detonationen
detonator Sprengkapsel
detonators Sprengkapseln
detour Umweg
detours Umwege
detraction Herabsetzung
detractions Verleumdungen
detractor Verleumder
detriment Schaden
detriments Schaeden
detrital Schutt
detritus Geroell
deuce Teufel
devaluate Abwerten
devaluation Abwertung
devaluations Abwertungen
devastation Verheerung
devastations Verwuestungen
devastator Verwuester
devastators Verwuester
developer Entwickler
developers Entwickler
development Entwicklung
developmentally Wachstums
developments Entwicklungen
deviant Abweichung
deviants Abweichungen
deviation Abweichung
deviations Abweichungen
device Einheit
devices Geraete
devide Teilung
devil Teufel
devilishness Schrecklichkeit
devilment Schelmerei
devilries Teufeleien
devilry Teufelei
devils Teufel
deviltries Teufeleien
deviltry Teufelei
deviousness Abwegigkeit
deviser Erfinder
devolvement Uebertragung
devotedness Hingabe
devotee Anhaenger
devotees Anhaenger
devotion Zuwendung
devotions Andachten
devourer Fresser
devourers Fresser
devoutness Froemmigkeit
dew Tau
dewatering Entwaesserung
dewdrop Tautropfen
dexterities Fertigkeiten
dexterity Fertigkeit
dexterousness Gewandtheit
dextrose Traubenzucker
diabetes Zuckerkrankheit
diabetic Diabetiker
diadems Diademe
diaeresis Tremazeichen
diagnose Diagnose
diagnosis Diagnose
diagnosises Diagnosen
diagnostics Diagnostik
diagonal Diagonale
diagonals Diagonale
diagram Diagramm
diagrams Diagramme
dial Skala
dial-up Verbindungsaufbau
dialect Mundart
dialectician Dialektiker
dialecticians Dialektiker
dialectics Dialektik
dialects Dialekte
dialer Waehler
dialog Dialog
dialogist Dialogist
dialogists Dialogisten
dialogs Dialoge
dialogue Gespraech
dialogues Dialoge
dialplate Waehleinrichtung
dials Wahlscheiben
dialysis Dialyse
diameter Durchmesser
diamond Stern
diamonds Diamanten
diaper Windel
diapers Windeln
diaphanousness Durchsichtigkeit
diaphragm Membran
diaphragms Scheidewaende
diaries Tagebuecher
diarist Tagebuchschreiber
diarrhea Durchfall
diarrhoea Durchfall
diary Tagebuch
diastole Diastole
diastoles Diastolen
diathermy Diathermie
diatom Kieselalge
diatoms Kieselalgen
diatribe Hetzrede
diatribes Hetzreden
diazocopy Lichtpause
dibit Zweibiteinheit
dice Wuerfel
dicer Wuerfelspieler
dichotomousness Zweiteilungen
dichotomy Dichotomie
dictaphone Diktierapparat
dictaphones Diktaphone
dictation Diktat
dictator Diktator
dictators Diktatoren
dictatorship Diktatur
dictatorships Diktaturen
diction Diktion
dictionaries Woerterbuecher
dictionary Lexikon
dictions Diktionen
dictum Machtspruch
didactic Lehr
didactics Didaktik
diddler Betrueger
dido Freudensprung
didoes Dummheiten
dielectric Dielektrikum
diereses Diaeresen
dieresis Diaerese
diesel Diesel
diet Diaet
dietaries Diaetvorschriften
dietary Diaetvorschrift
dietetics Ernaehrungslehre
diets Diaeten
difference Differenz
differences Unterschiede
differentness Verschiedenheit
differentnesses Verschiedenheiten
difficulties Schwierigkeiten
difficulty Schwierigkeiten
diffidence Schuechternheit
diffraction Beugung
diffuseness Weitschweifigkeit
diffusibility Diffusionsvermoegen
diffusion Verbreitung
diffusiveness Verbreitung
diffusor Diffusor
digest Uebersicht
digestibility Verdaulichkeit
digestion Verdauung
digger Graeber
diggers Graeber
diggings Bude
digit Zahl
digital Digital
digitalis Digitalis
digitalization Digitalisierung
digitization Digitalisierung
digitizer Digitalisierer
digitizing Digitalisierung
digits Ziffern
dignitaries Wuerdentraeger
dignitary Wuerdentraeger
dignities Wuerden
dignity Wuerde
digraph Digraph
digression Abschweifung
digressions Abschweifungen
digressiveness Abwegigkeit
dike Deich
dikes Deiche
dilapidation Verfall
dilapidations Zerstoerungen
dilatation Erweiterung
dilation Erweiterung
dilations Erweiterungen
dilatoriness Zaudern
dilemma Dilemma
dilettante Dilettant
dilettantes Dilettanten
dilettantism Dilettantismus
diligence Fleiss
dill Dill
diluent Verduennungsmittel
diluter Verduenner
dilution Verduennung
diluvian Sintflut
dimension Ausmass
dimensioning Ausdehnung
dimensions Dimensionen
diminishment Verkleinerung
diminution Verminderung
diminutions Verminderungen
diminutiveness Kleinheit
diminutives Diminutive
dimmer Abdunkelungsvorrichtung
dimness Duesterkeit
dimout Abdunklung
dimouts Teilverdunkelung
dimwit Doofmann
dimwits Dummen
dimwittedness Daemlichkeit
din Laerm
dinerUS Speisewagen
dinette Essnische
dinettes Essecken
dinghies Schlauchboote
dinghy Jolle
dinginess Schaebigkeit
dingle Waldschlucht
dingles Waldschluchten
dining Ess
dinkiness Niedlichkeit
dinner Abendessen
dinner-jacket Smoking
dinosaur Dinosaurier
dins Laerm
dint Beule
diocese Dioezese
diode Diode
diorama Durchscheingemaelde
dioxide Dioxyd
dip Senkung
dipUS Dip
diphteria Diphterie
diphtheria Diphtherie
diploma Diplom
diplomaUS Abgangszeugnis
diplomacy Diplomatie
diplomas Diplome
diplomate Diplomat
diplomates Diplomaten
diplomatics Urkundenlehre
dipole Dipol
dipper Kelle
dippers Kellen
dipstick Messstab
direct-access Direktzugriff
direction Richtung
directions Richtungen
directive Anweisung
directives Anweisungen
directness Unmittelbarkeit
director Regisseur
directorate Direktorenstelle
directories Verzeichnisse
directorship Direktorat
directory Verzeichnis
directorys Verzeichnisse
direness Entsetzlichkeit
dirge Klagelied
dirges Klagelieder
dirk Dolch
dirt Dreck
dirtiness Schmutz
disabilities Unfaehigkeiten
disability Unfaehigkeit
disablement Arbeitsunfaehigkeit
disaccord Widerspruch
disaccords Widersprueche
disadvantage Schaden
disadvantageousness Schaedlichkeit
disadvantages Schaden
disaffection Unzufriedenheit
disaffirmation Ablehnung
disaffirmations Ablehnungen
disagreeability Unannehmlichkeit
disagreeableness Unannehmlichkeiten
disagreement Uneinigkeit
disagreements Unstimmigkeiten
disallowance Nichtanerkennung
disappearance Verschwinden
disappointment Enttaeuschung
disappointments Enttaeuschungen
disapprobation Missbilligung
disapproval Missbilligung
disapprovals Missbilligungen
disarmament Abruestung
disaster Unglueck
disasters Ungluecke
disastrousness Unglueckseligkeit
disavowal Nichtanerkennung
disbandment Aufloesung
disbandments Aufloesungen
disbelief Unglaube
disbeliever Unglaeubige
disbelievers Unglaeubigen
disbursement Ausgabe
disbursements Ausgaben
disc Scheibe
discernment Einsicht
discernments Einsichten
discette Diskette
discharge Austritt
discharger Entlader
discharges Absetzungen
disciple Schueler
disciples Schueler
discipleship Anhaengerschaft
disciplinarian Vorgesetzte
disciplinarians Vorgesetzten
discipline Disziplin
disclaimer Ablehnungshinweis
disclosure Offenlegung
disclosures Enthuellungen
discobolus Diskuswerfer
discographies Schallplattenverzeichnisse
discography Diskographie
discoloration Verfaerbung
discolorations Verfaerbungen
discomfiture Niederlage
discomfitures Niederlagen
discomfort Unbehagen
discomforts Beschwerden
discomposure Aufregung
disconcertedness Verlegenheit
disconnectedness Trennung
disconnection Trennung
discontent Unzufriedenheit
discontentedness Unzufriedenheiten
discontentment Unzufriedenheit
discontinuances Unterbrechungen
discontinuities Unterbrechungen
discontinuity Unterbrechung
discord Dissonanz
discordance Dissonanz
discordancy Nichtuebereinstimmung
discotheque Diskothek
discount Abzug
discounter Wechselmakler
discounts Abzuege
discouragement Entmutigung
discourser Redner
discourteousness Unhoeflichkeiten
discourtesy Unhoeflichkeit
discoverer Entdecker
discoverers Entdecker
discoveries Entdeckungen
discovery Entdeckung
discredit Verruf
discreetness Verschwiegenheit
discrepancies Unstimmigkeiten
discrepancy Widerspruch
discreteness Unbestaendigkeit
discretion Ermessen
discretionary Handlungsfreiheit
discrimination Diskriminierung
discriminations Diskriminierungen
discriminator Impulsunterscheider
discs Scheiben
discursiveness Unbestaendigkeit
discus Diskus
discuses Wurfscheiben
discuss Diskussion
discussion Diskussion
discussions Diskussionen
disease Krankheit
diseases Krankheiten
disembarkation Ausschiffung
disembarkment Landung
disembodiment Entkoerperlichung
disenchantment Ernuechterung
disenchantments Ernuechterungen
disengagement Losgeloestsein
disentanglement Losloesung
disequilibrium Unausgeglichenheit
disestablishment Trennung
disfavor Missfallen
disfavour Missfallen
disfiguration Entstellung
disfigurement Entstellung
disgrace Schande
disgracefulness Schande
disgruntlement Verstimmung
disguise Mummenschanz
disgust Abstoss
dish Gericht
disharmonies Disharmonien
disharmony Disharmonie
dishcloth Abwaschtuch
dishes Gerichte
dishevelment Verwirrung
dishonesty Unehrlichkeit
dishonorableness Ehrlosigkeit
dishonour Unehre
dishrack Abtropfbrett
dishrag Abwaschlappen
dishtowel Geschirrtuch
dishtowels Geschirrtuecher
dishwasher Geschirrspuelmaschine
dishwater Aufwaschwasser
disillusion Ernuechterung
disillusionment Ernuechterung
disillusions Ernuechterungen
disincentive Abhaltung
disinclination Abneigung
disinclinations Abneigungen
disinfectant Desinfektionsmittel
disinfection Desinfektion
disingenuousness Unaufrichtigkeit
disinheritance Enterbung
disintegration Zersetzung
disinterest Selbstlosigkeit
disinterestedness Uneigennuetzigkeit
disinterment Exhumierung
disinterments Exhumierungen
disjointedness Zusammenhanglosigkeit
disjunktion Disjunktion
disk Diskette
diskette Diskette
diskettes Disketten
disketts Disketten
disks Disketten
dislike Abneigung
dislodgement Entfernung
disloyally Abtruennigkeit
dismalness Duesterkeit
dismantlement Demontage
dismantlements Demontagen
dismantling Abbau
dismay Bestuerzung
dismemberment Zerstueckelung
dismissal Entlassung
dismissals Entlassungen
disobedience Unfolgsamkeit
disorder Unordnung
disorderliness Unordnung
disorders Stoerungen
disorientation Verwirrung
disparagement Verunglimpfung
disparagements Verunglimpfungen
disparities Ungleichheiten
disparity Ungleichheit
dispatch Versand
dispatcher Rechenzeitverteiler
dispatches Meldungen
dispensaries Apotheken
dispensary Arzneiausgabe
dispensation Verteilung
dispenser Spender
dispersal Zerstreuung
dispersion Feinverteilung
dispersiveness Verbreitung
dispiritedness Mutlosigkeit
displacement Abstand
displacements Verschiebungen
display Ausstellung
displeasure Unmut
disposability Verfuegbarkeit
disposal Verfuegung
disposition Verwendung
dispositions Anordnungen
dispossession Enteignung
dispossessor Enteigner
disproof Widerlegung
disproofs Widerlegungen
disproportion Missverhaeltnis
disproportionateness Missverhaeltnis
disproportions Missverhaeltnisse
disputability Streitbarkeit
disputant Disputant
disputants Disputanten
disputation Disputation
disputations Disputationen
disputatiousness Streitsucht
dispute Streit
disputes Streitfragen
disqualification Disqualifikation
disquietude Unruhe
disquisition Abhandlung
disrepair Verfall
disreputableness Gemeinheit
disrepute Schande
disrespect Nichtachtung
disrespectfulness Unehrerbietigkeit
disruption Zerruettung
disruptiveness Zersetzung
dissatisfaction Unzufriedenheit
dissection Zergliederung
dissector Sezierer
dissembler Heuchler
dissension Meinungsverschiedenheit
dissenter Andersdenkende
dissertations Dissertationen
disservice Schaden
dissidents Dissidenten
dissimilarities Unaehnlichkeiten
dissimilarity Unaehnlichkeit
dissimulation Verheimlichung
dissimulations Verheimlichungen
dissipatedness Liederlichkeit
dissipation Vertreibung
dissociation Absonderung
dissociations Absonderungen
dissolubility Loeslichkeit
dissoluteness Liederlichkeit
dissolution Aufloesung
dissolutions Aufloesungen
dissolvability Aufloesbarkeit
dissolver Loesungsmittel
dissonance Missklang
dissuasion Abraten
dissuasiveness Abmahnung
distaction Ablenkung
distaff Spinnrocken
distance Abstand
distances Abstaende
distantness Weite
distaste Widerwille
distastefulness Widerlichkeit
distemper Staupe
distempers Staupen
distensibility Dehnbarkeit
distension Dehnung
distensions Dehnungen
distich Zweizeiler
distiches Zweizeiler
distillate Destillat
distillates Destillate
distillation Destillation
distiller Branntweinbrenner
distilleries Branntweinbrennereien
distillery Branntweinbrennerei
distinction Auszeichnung
distinctions Unterschiede
distinctiveness Besonderheit
distinctness Deutlichkeit
distoma Saugwurm
distortion Verkruemmung
distractibility Zerstreuung
distraction Ablenkung
distractions Ablenkungen
distrainee Gepfaendete
distrainees Gepfaendeten
distrainor Pfaender
distrainors Pfaender
distraint Pfaendung
distraints Pfaendungen
distress Not
distresses Notlagen
distressfulness Jaemmerlichkeit
distributing Verteiler
distribution Verteilung
distributor Verteiler
distributors Verteiler
district Kreis
districts Gegenden
distrust Misstrauen
distrustfulness Argwohn
disturbance Stoerung
disturbances Stoerungen
disturber Unruhestifter
disunity Uneinigkeit
disuse Nichtgebrauch
ditch Graben
ditches Graeben
dither Aufregung
ditties Liedchen
ditty Liedchen
divan Diwan
divas Divas
diver Springer
divergence Abweichung
divergences Abweichungen
divergency Abzweigung
divers Taucher
diverseness Verschiedenheit
diversification Veraenderung
diversion Umleitung
diversities Verschiedenheiten
diversity Vielfalt
divestment Beraubung
dividedness Uneinigkeit
divider Teiler
dividers Steckzirkel
divination Weissagung
divineness Goettlichkeit
diviner Rutengaenger
divines Geistlichen
diving Kunstspringen
divinities Gottheiten
divinity Gottheit
divisibility Teilbarkeit
divisiblities Teilbarkeiten
division Liga
divisional Teilungs
divorce Scheidung
divorcees Geschiedenen
divorces Ehescheidungen
divulgation Verbreitung
divulgement Enthuellung
divulgence Verbreitung
dizziness Schwindel
dizzinesses Schwindelanfaelle
do-statement Schleifenanweisung
dob Rohdiamant
dobbin Schindmaehre
